species,tissue,layer,celltype,marker_group,gene,direction,evidence,notes
Human,Liver,Layer1,Hepatocyte,identity,ALB,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatocyte,identity,TTR,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatocyte,identity,APOA1,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatocyte,identity,HNF4A,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatocyte,identity,CPS1,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatocyte,identity,ASS1,positive,curated,Initial framework registry
Human,Liver,Layer1,Cholangiocyte,identity,KRT19,positive,curated,Initial framework registry
Human,Liver,Layer1,Cholangiocyte,identity,KRT8,positive,curated,Initial framework registry
Human,Liver,Layer1,Cholangiocyte,identity,KRT18,positive,curated,Initial framework registry
Human,Liver,Layer1,Cholangiocyte,identity,EPCAM,positive,curated,Initial framework registry
Human,Liver,Layer1,Cholangiocyte,identity,KRT7,positive,curated,Initial framework registry
Human,Liver,Layer1,Cholangiocyte,identity,SOX9,positive,curated,Initial framework registry
Human,Liver,Layer1,LSEC,identity,KDR,positive,curated,Initial framework registry
Human,Liver,Layer1,LSEC,identity,KLF2,positive,curated,Initial framework registry
Human,Liver,Layer1,LSEC,identity,STAB1,positive,curated,Initial framework registry
Human,Liver,Layer1,LSEC,identity,STAB2,positive,curated,Initial framework registry
Human,Liver,Layer1,LSEC,identity,CLEC4G,positive,curated,Initial framework registry
Human,Liver,Layer1,LSEC,identity,LYVE1,positive,curated,Initial framework registry
Human,Liver,Layer1,LSEC,identity,PLVAP,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatic stellate cell,identity,COL1A1,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatic stellate cell,identity,COL1A2,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatic stellate cell,identity,DCN,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatic stellate cell,identity,LUM,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatic stellate cell,identity,RGS5,positive,curated,Initial framework registry
Human,Liver,Layer1,Hepatic stellate cell,identity,PDGFRB,positive,curated,Initial framework registry
Human,Liver,Layer1,Macrophage,identity,CD68,positive,curated,Initial framework registry
Human,Liver,Layer1,Macrophage,identity,CSF1R,positive,curated,Initial framework registry
Human,Liver,Layer1,Macrophage,identity,AIF1,positive,curated,Initial framework registry
Human,Liver,Layer1,Macrophage,identity,TYROBP,positive,curated,Initial framework registry
Human,Liver,Layer1,Macrophage,identity,FCER1G,positive,curated,Initial framework registry
Human,Liver,Layer1,Macrophage,identity,LST1,positive,curated,Initial framework registry
Human,Liver,Layer1,Monocyte,identity,LYZ,positive,curated,Initial framework registry
Human,Liver,Layer1,Monocyte,identity,CCR2,positive,curated,Initial framework registry
Human,Liver,Layer1,Monocyte,identity,S100A8,positive,curated,Initial framework registry
Human,Liver,Layer1,Monocyte,identity,S100A9,positive,curated,Initial framework registry
Human,Liver,Layer1,Monocyte,identity,CTSS,positive,curated,Initial framework registry
Human,Liver,Layer1,Monocyte,identity,FCN1,positive,curated,Initial framework registry
Human,Liver,Layer1,Neutrophil,identity,S100A8,positive,curated,Initial framework registry
Human,Liver,Layer1,Neutrophil,identity,S100A9,positive,curated,Initial framework registry
Human,Liver,Layer1,Neutrophil,identity,FCGR3B,positive,curated,Initial framework registry
Human,Liver,Layer1,Neutrophil,identity,CSF3R,positive,curated,Initial framework registry
Human,Liver,Layer1,Neutrophil,identity,MMP8,positive,curated,Initial framework registry
Human,Liver,Layer1,Neutrophil,identity,MMP9,positive,curated,Initial framework registry
Human,Liver,Layer1,T cell,identity,CD3D,positive,curated,Initial framework registry
Human,Liver,Layer1,T cell,identity,CD3E,positive,curated,Initial framework registry
Human,Liver,Layer1,T cell,identity,TRAC,positive,curated,Initial framework registry
Human,Liver,Layer1,T cell,identity,LCK,positive,curated,Initial framework registry
Human,Liver,Layer1,T cell,identity,IL7R,positive,curated,Initial framework registry
Human,Liver,Layer1,B cell,identity,CD79A,positive,curated,Initial framework registry
Human,Liver,Layer1,B cell,identity,MS4A1,positive,curated,Initial framework registry
Human,Liver,Layer1,B cell,identity,CD37,positive,curated,Initial framework registry
Human,Liver,Layer1,B cell,identity,CD74,positive,curated,Initial framework registry
Human,Liver,Layer1,B cell,identity,HLA-DRA,positive,curated,Initial framework registry
Human,Liver,Layer1,NK cell,identity,NKG7,positive,curated,Initial framework registry
Human,Liver,Layer1,NK cell,identity,KLRD1,positive,curated,Initial framework registry
Human,Liver,Layer1,NK cell,identity,KLRK1,positive,curated,Initial framework registry
Human,Liver,Layer1,NK cell,identity,PRF1,positive,curated,Initial framework registry
Human,Liver,Layer1,NK cell,identity,GNLY,positive,curated,Initial framework registry
Human,Liver,Layer2,Resident Kupffer-like,identity,VSIG4,positive,curated,Initial framework registry
Human,Liver,Layer2,Resident Kupffer-like,identity,MARCO,positive,curated,Initial framework registry
Human,Liver,Layer2,Resident Kupffer-like,identity,CD5L,positive,curated,Initial framework registry
Human,Liver,Layer2,Resident Kupffer-like,identity,C1QA,positive,curated,Initial framework registry
Human,Liver,Layer2,Resident Kupffer-like,identity,C1QB,positive,curated,Initial framework registry
Human,Liver,Layer2,Resident Kupffer-like,identity,C1QC,positive,curated,Initial framework registry
